round,match_id,home_team,away_team,score_final_dom,score_final_ext,nb_buts_total,nb_buts_dom,nb_buts_ext,victoire,cycle
9,73353969,Angola,Mozambique,0,0,0,0,0,nul,1
9,73353965,Benin,DR Congo,0,3,3,0,3,ext,1
9,73353966,Botswana,Tunisia,0,1,1,0,1,ext,1
9,73353972,Gabon,Comoros,0,2,2,0,2,ext,1
9,73353967,Ivory Coast,Sudan,1,0,1,1,0,dom,1
9,73353971,Nigeria,Cameroon,1,0,1,1,0,dom,1
9,73353963,Senegal,Egypt,2,0,2,2,0,dom,1
9,73353968,South Africa,Morocco,1,1,2,1,1,nul,1
9,73353962,Tanzania,Burkina Faso,0,0,0,0,0,nul,1
9,73353961,Uganda,Mali,0,0,0,0,0,nul,1
9,73353964,Zambia,Algeria,1,1,2,1,1,nul,1
9,73353970,Zimbabwe,Equatorial Guinea,5,1,6,5,1,dom,1
10,73353981,Algeria,South Africa,0,2,2,0,2,ext,1
10,73353974,Botswana,Senegal,0,0,0,0,0,nul,1
10,73353976,Burkina Faso,Gabon,0,2,2,0,2,ext,1
10,73353977,Cameroon,Zambia,0,1,1,0,1,ext,1
10,73353983,Comoros,Zimbabwe,1,0,1,1,0,dom,1
10,73353980,Egypt,Nigeria,0,2,2,0,2,ext,1
10,73353984,Equatorial Guinea,Angola,0,0,0,0,0,nul,1
10,73353979,Mali,DR Congo,0,0,0,0,0,nul,1
10,73353982,Morocco,Uganda,3,2,5,3,2,dom,1
10,73353975,Mozambique,Benin,0,0,0,0,0,nul,1
10,73353978,Sudan,Tanzania,2,1,3,2,1,dom,1
10,73353973,Tunisia,Ivory Coast,0,0,0,0,0,nul,1
11,73353989,Angola,Comoros,0,0,0,0,0,nul,1
11,73353993,Benin,Mali,0,0,0,0,0,nul,1
11,73353991,DR Congo,Morocco,0,4,4,0,4,ext,1
11,73353986,Gabon,Sudan,0,0,0,0,0,nul,1
11,73353988,Ivory Coast,Senegal,0,0,0,0,0,nul,1
11,73353985,Mozambique,Equatorial Guinea,0,0,0,0,0,nul,1
11,73353995,Nigeria,Botswana,3,0,3,3,0,dom,1
11,73353992,South Africa,Cameroon,1,0,1,1,0,dom,1
11,73353990,Tanzania,Tunisia,0,0,0,0,0,nul,1
11,73353996,Uganda,Algeria,0,0,0,0,0,nul,1
11,73353987,Zambia,Egypt,3,0,3,3,0,dom,1
11,73353994,Zimbabwe,Burkina Faso,3,0,3,3,0,dom,1
12,73354008,Algeria,DR Congo,1,0,1,1,0,dom,1
12,73354000,Botswana,Zambia,1,3,4,1,3,ext,1
12,73353999,Burkina Faso,Angola,1,1,2,1,1,nul,1
12,73354003,Cameroon,Uganda,4,0,4,4,0,dom,1
12,73353997,Comoros,Mozambique,1,1,2,1,1,nul,1
12,73354005,Egypt,South Africa,0,2,2,0,2,ext,1
12,73354007,Equatorial Guinea,Benin,0,0,0,0,0,nul,1
12,73354002,Ivory Coast,Nigeria,0,1,1,0,1,ext,1
12,73354004,Morocco,Mali,0,1,1,0,1,ext,1
12,73354001,Senegal,Tanzania,4,0,4,4,0,dom,1
12,73353998,Sudan,Zimbabwe,1,2,3,1,2,ext,1
12,73354006,Tunisia,Gabon,0,1,1,0,1,ext,1
13,73354018,Angola,Sudan,2,1,3,2,1,dom,1
13,73354016,Benin,Morocco,1,2,3,1,2,ext,1
13,73354019,DR Congo,Cameroon,0,0,0,0,0,nul,1
13,73354020,Equatorial Guinea,Comoros,0,1,1,0,1,ext,1
13,73354012,Gabon,Senegal,0,1,1,0,1,ext,1
13,73354010,Mali,Algeria,0,0,0,0,0,nul,1
13,73354013,Mozambique,Burkina Faso,4,1,5,4,1,dom,1
13,73354011,South Africa,Botswana,0,0,0,0,0,nul,1
13,73354015,Tanzania,Nigeria,1,0,1,1,0,dom,1
13,73354017,Uganda,Egypt,1,1,2,1,1,nul,1
13,73354009,Zambia,Ivory Coast,0,1,1,0,1,ext,1
13,73354014,Zimbabwe,Tunisia,2,0,2,2,0,dom,1
14,73354024,Algeria,Morocco,1,1,2,1,1,nul,1
14,73354022,Botswana,Uganda,1,0,1,1,0,dom,1
14,73354027,Burkina Faso,Equatorial Guinea,0,1,1,0,1,ext,1
14,73354029,Cameroon,Mali,3,1,4,3,1,dom,1
14,73354026,Comoros,Benin,2,1,3,2,1,dom,1
14,73354021,Egypt,DR Congo,1,1,2,1,1,nul,1
14,73354025,Ivory Coast,South Africa,1,1,2,1,1,nul,1
14,73354023,Nigeria,Gabon,1,1,2,1,1,nul,1
14,73354028,Senegal,Zimbabwe,0,0,0,0,0,nul,1
14,73354032,Sudan,Mozambique,0,0,0,0,0,nul,1
14,73354031,Tanzania,Zambia,0,0,0,0,0,nul,1
14,73354030,Tunisia,Angola,0,0,0,0,0,nul,1
15,73354037,Angola,Senegal,0,0,0,0,0,nul,1
15,73354041,Benin,Algeria,1,1,2,1,1,nul,1
15,73354044,Comoros,Burkina Faso,1,1,2,1,1,nul,1
15,73354040,DR Congo,Botswana,0,0,0,0,0,nul,1
15,73354035,Equatorial Guinea,Sudan,1,0,1,1,0,dom,1
15,73354042,Gabon,Zambia,1,1,2,1,1,nul,1
15,73354043,Mali,Egypt,1,0,1,1,0,dom,1
15,73354034,Morocco,Cameroon,2,0,2,2,0,dom,1
15,73354038,Mozambique,Tunisia,1,1,2,1,1,nul,1
15,73354039,South Africa,Tanzania,0,0,0,0,0,nul,1
15,73354033,Uganda,Ivory Coast,0,0,0,0,0,nul,1
15,73354036,Zimbabwe,Nigeria,1,0,1,1,0,dom,1
16,73354050,Botswana,Mali,1,1,2,1,1,nul,1
16,73354049,Burkina Faso,Benin,2,1,3,2,1,dom,1
16,73354047,Cameroon,Algeria,1,0,1,1,0,dom,1
16,73354048,Egypt,Morocco,0,2,2,0,2,ext,1
16,73354056,Gabon,South Africa,0,0,0,0,0,nul,1
16,73354054,Ivory Coast,DR Congo,1,1,2,1,1,nul,1
16,73354053,Nigeria,Angola,0,0,0,0,0,nul,1
16,73354055,Senegal,Mozambique,1,3,4,1,3,ext,1
16,73354045,Sudan,Comoros,4,0,4,4,0,dom,1
16,73354051,Tanzania,Uganda,1,0,1,1,0,dom,1
16,73354052,Tunisia,Equatorial Guinea,4,0,4,4,0,dom,1
16,73354046,Zambia,Zimbabwe,1,0,1,1,0,dom,1
17,73354063,Algeria,Egypt,2,1,3,2,1,dom,1
17,73354067,Angola,Zambia,0,0,0,0,0,nul,1
17,73354062,Benin,Cameroon,2,2,4,2,2,nul,1
17,73354068,Burkina Faso,Sudan,2,1,3,2,1,dom,1
17,73354059,Comoros,Tunisia,1,0,1,1,0,dom,1
17,73354057,DR Congo,Tanzania,1,0,1,1,0,dom,1
17,73354064,Equatorial Guinea,Senegal,0,1,1,0,1,ext,1
17,73354058,Mali,Ivory Coast,2,0,2,2,0,dom,1
17,73354065,Morocco,Botswana,0,0,0,0,0,nul,1
17,73354060,Mozambique,Nigeria,0,3,3,0,3,ext,1
17,73354061,Uganda,Gabon,1,1,2,1,1,nul,1
17,73354066,Zimbabwe,South Africa,0,1,1,0,1,ext,1
18,73354071,Botswana,Algeria,0,0,0,0,0,nul,1
18,73354075,Egypt,Cameroon,1,2,3,1,2,ext,1
18,73354079,Gabon,DR Congo,1,0,1,1,0,dom,1
18,73354076,Ivory Coast,Morocco,1,0,1,1,0,dom,1
18,73354078,Nigeria,Equatorial Guinea,0,0,0,0,0,nul,1
18,73354073,Senegal,Comoros,1,2,3,1,2,ext,1
18,73354072,South Africa,Angola,1,0,1,1,0,dom,1
18,73354070,Sudan,Benin,0,0,0,0,0,nul,1
18,73354074,Tanzania,Mali,0,0,0,0,0,nul,1
18,73354069,Tunisia,Burkina Faso,0,1,1,0,1,ext,1
18,73354077,Zambia,Mozambique,0,3,3,0,3,ext,1
18,73354080,Zimbabwe,Uganda,0,0,0,0,0,nul,1
19,73354081,Algeria,Ivory Coast,3,0,3,3,0,dom,1
19,73354089,Angola,Uganda,4,0,4,4,0,dom,1
19,73354084,Benin,Egypt,0,0,0,0,0,nul,1
19,73354085,Burkina Faso,Senegal,0,1,1,0,1,ext,1
19,73354091,Cameroon,Botswana,3,0,3,3,0,dom,1
19,73354083,Comoros,Nigeria,1,1,2,1,1,nul,1
19,73354086,DR Congo,Zimbabwe,0,0,0,0,0,nul,1
19,73354087,Equatorial Guinea,Zambia,1,0,1,1,0,dom,1
19,73354092,Mali,Gabon,1,0,1,1,0,dom,1
19,73354082,Morocco,Tanzania,5,0,5,5,0,dom,1
19,73354090,Mozambique,South Africa,2,1,3,2,1,dom,1
19,73354088,Sudan,Tunisia,0,0,0,0,0,nul,1
20,73354093,Angola,DR Congo,1,1,2,1,1,nul,1
20,73354100,Botswana,Egypt,1,4,5,1,4,ext,1
20,73354097,Gabon,Morocco,0,3,3,0,3,ext,1
20,73354102,Ivory Coast,Cameroon,1,0,1,1,0,dom,1
20,73354104,Nigeria,Burkina Faso,0,0,0,0,0,nul,1
20,73354096,Senegal,Sudan,1,0,1,1,0,dom,1
20,73354101,South Africa,Equatorial Guinea,3,1,4,3,1,dom,1
20,73354099,Tanzania,Algeria,0,1,1,0,1,ext,1
20,73354103,Tunisia,Benin,3,0,3,3,0,dom,1
20,73354098,Uganda,Mozambique,2,1,3,2,1,dom,1
20,73354095,Zambia,Comoros,0,1,1,0,1,ext,1
20,73354094,Zimbabwe,Mali,0,0,0,0,0,nul,1
21,73349083,Algeria,Morocco,2,0,2,2,0,dom,1
21,73349080,Cameroon,Angola,1,0,1,1,0,dom,1
21,73349084,Comoros,Gabon,1,0,1,1,0,dom,1
21,73349082,Egypt,Benin,2,0,2,2,0,dom,1
